ROUND_HOLE_ID,TERRAIN_DESCR,ROUND_SHOT_ID,FAIRWAY_FLAG,FAIRWAY_RIGHT_FLAG,FAIRWAY_LEFT_FLAG,RCVR_SHOT_FLAG,STROKE_GAINED,START_TO_CG_DIST,END_TO_CG_DIST,START_TERRAIN_ID,END_TERRAIN_ID,SHOT_DIST,FAIRWAY_BOUNDS_DIST,PENALTY_CNT,IGNORE_FLAG,RCVR_REQUIRED_FLAG,FP_OR_MISSED_FLAG,LEFT_FLAG,RIGHT_FLAG,CENTER_LINE_DIST,SRC_KEY,DML_INS_DT,DML_INS_BATCH,DML_UPD_DT,DML_UPD_BATCH,DML,Name,Date,Hole
6351242,rough,29803170,F,F,T,T,-0.845898986,164.4660034,129.4579926,2,2,35.98300171,0.319779009,0,F,,F,T,F,11.93270016,673754-2-2,3/11/2017 6:03,,3/12/2017 5:34,,U,HARRY ,"Apr. 24th, 2018",4
6354625,rough,29832285,F,F,T,T,-0.319059014,212.6029968,75.92880249,2,2,141.7940063,18.31380081,0,F,,F,T,F,29.46640015,673754-12-2,3/11/2017 6:03,,3/12/2017 5:34,,U,OLIVER ,"Apr. 25th, 2018",5
6351979,rough,29839241,F,F,T,,-1.066480041,302.5270081,120.0619965,1,2,197.3650055,5.869050026,1,F,,F,T,F,19.82320023,673754-9-1,3/11/2017 6:03,,3/12/2017 5:34,,U,JACK ,"Apr. 21th, 2018",6
6900926,rough,32284857,F,T,F,,-1.080150008,273.2890015,83.41059875,1,2,191.2429962,3.975419998,1,T,,F,F,T,22.3864994,744167-7-1,4/20/2017 3:24,,4/21/2017 3:33,,U,ALFIE ,"Apr. 23th, 2018",7
6354625,rough,29818748,F,F,T,,-0.125063002,435.1570129,212.6029968,1,2,245.4929962,14.48719978,0,F,T,F,T,F,45.31010056,673754-12-1,3/11/2017 6:03,,3/12/2017 5:34,,U,CHARLIE ,"Apr. 25th, 2018",8
8262586,rough,38442208,F,F,T,T,0.00107518,304.4530029,151.8419952,2,2,153.4199982,3.426110029,0,F,,F,T,F,21.45289993,911416-9-2,6/22/2017 5:30,,6/23/2017 7:29,,U,THOMAS ,"Apr. 21th, 2018",9
6851589,rough,31994200,F,F,T,,0.024173301,322.1600037,109.3339996,1,2,237.701004,24.44799995,0,F,T,F,T,F,39.82160187,736700-16-1,4/16/2017 3:38,,4/17/2017 3:42,,U,JACOB ,"Apr. 24th, 2018",1
6851589,rough,31937502,F,F,T,T,-0.873444021,109.3339996,80.90409851,2,2,66.92819977,12.4357996,0,F,,F,T,F,24.63529968,736700-16-2,4/16/2017 3:38,,4/17/2017 3:42,,U,JAMES ,"Apr. 25th, 2018",2
11067257,fairway,50897651,T,F,F,,-0.021187199,430.9410095,209.223999,1,5,239.6549988,10.96920013,0,F,,F,F,T,3.981290102,1221207-17-1,10/23/2017 6:05,,10/24/2017 6:16,,U,JOSHUA ,"Apr. 21th, 2018",3
9196176,sand,42531238,F,T,F,,-0.75345701,290.3299866,25.66790009,1,4,268.4140015,22.78969955,1,F,,F,F,T,2.118740082,1014050-11-1,7/28/2017 6:17,,8/3/2017 8:46,,U,WILLIAM ,"Apr. 24th, 2018",8
