ROUND_HOLE_ID,TERRAIN_DESCR,ROUND_SHOT_ID,FAIRWAY_FLAG,FAIRWAY_RIGHT_FLAG,FAIRWAY_LEFT_FLAG,RCVR_SHOT_FLAG,STROKE_GAINED,START_TO_CG_DIST,END_TO_CG_DIST,START_TERRAIN_ID,END_TERRAIN_ID,SHOT_DIST,FAIRWAY_BOUNDS_DIST,PENALTY_CNT,IGNORE_FLAG,RCVR_REQUIRED_FLAG,FP_OR_MISSED_FLAG,LEFT_FLAG,RIGHT_FLAG,CENTER_LINE_DIST,SRC_KEY,DML_INS_DT,DML_INS_BATCH,DML_UPD_DT,DML_UPD_BATCH,DML
7394919,rough,34439216,F,F,T,,-0.29469499,416.5859985,221.3840027,1,2,202.2960052,36.12770081,0,F,T,F,T,F,50.39960098,798943-4-1,5/15/2017 6:14:14  AM ,,5/16/2017 5:21:51  AM ,,U
9605278,rough,44417170,F,F,T,,-0.962940991,328.9830017,269.9869995,1,2,59.44609833,69.60469818,0,F,T,F,T,F,14.7972002,1058625-11-1,8/14/2017 5:20:21  AM ,,8/20/2017 10:57:33  AM ,,U
9603703,rough,44412347,F,T,F,,-0.00604989,363.8559875,147.8840027,1,2,221.6759949,10.1267004,0,F,T,F,F,T,26.37280083,1059500-16-1,8/13/2017 5:25:17  AM ,,8/20/2017 10:57:33  AM ,,U
7116013,rough,33262820,F,F,T,T,0.046726301,269.7619934,98.57369995,2,2,171.7599945,0.163736001,0,F,,F,T,F,15.71920013,768610-9-2,5/1/2017 3:38:01  AM ,,5/2/2017 3:32:19  AM ,,U
9586094,rough,44405995,F,F,T,,-0.130072996,370.1799927,174.1779938,1,2,200.151001,5.381849766,0,F,T,F,T,F,17.43619919,1059500-12-1,8/13/2017 5:25:17  AM ,,8/20/2017 10:57:33  AM ,,U
10162864,rough,46859273,F,F,T,,-0.299710989,503.7749939,320.7160034,1,2,203.2189941,13.4822998,0,F,T,F,T,F,28.8132,1122406-5-1,9/5/2017 5:40:28  AM ,,9/6/2017 11:11:19  AM ,,U
9841865,sand,45449234,F,F,T,,-0.290544003,488.1369934,247.5749969,1,4,242.9649963,8.022040367,0,F,,F,T,F,25.69179916,1085847-9-1,8/23/2017 5:27:57  AM ,,8/24/2017 5:35:19  AM ,,U
8123060,rough,37787772,F,F,T,,0.846880019,489.803009,117.560997,1,2,401.6549988,4.540279865,0,F,,F,T,F,24.08399963,893888-5-1,6/16/2017 7:59:06  AM ,,6/17/2017 10:59:49  AM ,,U
8261777,rough,38403987,F,T,F,T,-0.851023972,133.5039978,108.6869965,2,2,24.82239914,11.95339966,0,F,,F,F,T,33.83160019,910900-4-2,6/22/2017 5:30:51  AM ,,6/23/2017 7:29:20  AM ,,U
8849029,rough,41047366,F,T,F,,-0.105746999,513.3280029,283.019989,1,2,230.4420013,5.731200218,0,F,T,F,F,T,20.84350014,975860-17-1,7/14/2017 5:45:09  AM ,,7/15/2017 5:35:11  AM ,,U
7773464,rough,36180665,F,F,T,T,-0.156992003,259.2130127,138.7769928,2,2,120.8499985,4.428219795,0,F,,F,T,F,24.67519951,850672-13-2,6/1/2017 5:19:50  AM ,,6/2/2017 5:46:38  AM ,,U
7650353,fairway,35674285,T,F,F,T,0.050879799,247.753006,76.4536972,2,5,173.375,9.737680435,0,F,,F,F,T,3.327860117,840055-13-2,5/29/2017 10:28:07  AM ,,5/30/2017 7:38:49  AM ,,U
10485740,rough,48322941,F,T,F,,-0.0561364,391.6940002,169.9600067,1,2,221.9920044,3.89835,0,F,T,F,F,T,17.40029907,1158454-18-1,9/21/2017 7:57:53  AM ,,9/22/2017 6:59:50  AM ,,U
8144401,fairway,37847551,T,F,F,T,-0.459556997,242.7779999,187.6459961,2,5,55.13190079,7.330880165,0,F,,F,F,T,9.04611969,895455-18-2,6/17/2017 10:59:49  AM ,,6/19/2017 10:10:43  AM ,,U
8105606,rough,37728991,F,T,F,T,-0.745948017,172.927002,125.5820007,2,2,47.91139984,5.013949871,0,F,,F,F,T,24.5753994,892871-2-2,6/16/2017 7:59:06  AM ,,6/17/2017 10:59:49  AM ,,U
8526826,rough,39517185,F,F,T,,-0.00761171,324.3110046,120.0910034,1,2,220.3359985,2.971940041,0,F,,F,T,F,18.37639999,940872-16-1,7/2/2017 5:33:03  AM ,,7/3/2017 5:34:53  AM ,,U
9548825,rough,44108214,F,F,T,,-0.248467997,493.0549927,290.2349854,1,2,223.526001,10.3572998,0,F,T,F,T,F,23.83250046,1052492-5-1,8/11/2017 5:18:31  AM ,,8/20/2017 10:57:33  AM ,,U
8127398,rough,37832981,F,F,T,,-0.254992008,371.6210022,192.0160065,1,2,181.4069977,25.0685997,0,F,T,F,T,F,40.52059937,896858-2-1,6/17/2017 10:59:49  AM ,,6/18/2017 9:26:09  AM ,,U
9936082,fairway,45968061,T,F,F,T,-0.294001997,198.8630066,63.46770096,2,5,135.4989929,1.150370002,0,F,,F,F,T,13.25899982,1099514-13-2,8/27/2017 5:30:45  AM ,,8/28/2017 5:39:26  AM ,,U
8162229,rough,37945972,F,F,T,T,-0.603227973,218.2400055,166.7480011,2,2,51.5992012,9.706540108,0,F,,F,T,F,26.66930008,899090-11-2,6/18/2017 9:26:09  AM ,,6/19/2017 10:10:43  AM ,,U
9395658,rough,43423667,F,T,F,T,-0.519087017,198.147995,107.0449982,2,2,93.23760223,9.053959846,0,F,,F,F,T,12.86859989,1035147-6-2,8/5/2017 5:21:04  AM ,,8/20/2017 10:57:33  AM ,,U
7434731,rough,34687556,F,F,T,,-0.00192611,392.1919861,162.2140045,1,2,233.5930023,16.19639969,0,F,,F,T,F,34.31349945,806106-14-1,5/18/2017 9:04:57  AM ,,5/19/2017 8:14:14  AM ,,U
9843070,fairway,45512571,T,F,F,T,-0.751047015,97.4434967,58.25139999,2,5,39.83449936,1.242359996,0,F,,F,F,T,13.22929955,1086887-12-2,8/23/2017 5:27:57  AM ,,8/24/2017 5:35:19  AM ,,U
7428019,rough,34688744,F,T,F,T,-0.788742006,156.852005,111.9940033,2,2,44.97029877,19.69510078,0,F,,F,F,T,34.67010117,806106-1-2,5/18/2017 9:04:57  AM ,,5/19/2017 8:14:14  AM ,,U
